Date,Age,Gender,Sleep Start Time,Sleep End Time,Total Sleep Hours,Sleep Quality,Exercise (mins/day),Screen Time Before Bed (mins),Work Hours (hrs/day),Productivity Score,Mood Score,Stress Level,Weekday
2024-11-03,50,2,23.48,7.09,7.61,3,80,28,5.176587847432304,8,1,10,Sunday
2024-09-29,30,1,21.08,4.05,6.96,3,22,79,5.215221548098355,6,8,4,Sunday
2024-12-25,20,2,22.47,7.83,9.37,10,50,4,6.760661022579094,10,6,5,Wednesday
2024-11-21,20,0,21.55,2.69,5.14,10,44,25,10.39528319127234,9,6,8,Thursday
2024-12-15,30,0,23.0,3.92,4.92,3,51,46,6.963776822331056,6,10,7,Sunday
2024-03-18,40,0,22.92,4.08,5.17,3,22,106,8.256907882122526,2,10,6,Monday
2024-08-14,30,1,22.6,4.01,5.41,7,56,85,6.619978817423317,9,1,4,Wednesday
2024-01-25,20,1,20.28,1.22,4.93,6,33,7,8.692283477286072,3,10,9,Thursday
2024-04-10,40,0,22.92,5.91,6.99,6,32,20,5.222873113474656,7,4,8,Wednesday
2024-11-06,40,1,23.38,4.44,5.06,2,83,74,10.92405700715184,6,6,1,Wednesday
2024-04-03,50,2,21.93,6.03,8.09,8,25,43,5.640620481195673,10,6,4,Wednesday
2024-10-01,50,1,23.77,7.8,8.04,6,36,99,6.565137537276114,3,1,6,Tuesday
2024-06-26,20,2,21.72,3.23,5.51,8,1,64,5.110598187536163,9,1,9,Wednesday
2024-02-07,40,2,20.07,4.72,8.65,2,77,161,5.449864529325281,3,1,8,Wednesday
2024-11-15,40,2,20.6,2.11,5.51,3,84,4,5.885533968519998,10,4,9,Friday
2024-08-24,40,0,23.12,5.81,6.7,3,37,62,8.021763120739834,9,1,1,Saturday
2024-11-04,50,2,22.83,5.49,6.66,3,6,41,5.114176581307098,1,4,7,Monday
2024-06-05,50,2,22.53,3.2,4.67,6,65,4,11.014125094093997,1,6,6,Wednesday
2024-06-07,40,2,20.12,1.37,5.25,4,75,129,4.097624578544356,3,3,4,Friday
2024-10-18,40,1,23.17,8.46,9.3,8,37,22,7.696046429153061,10,8,2,Friday
2024-04-20,20,1,23.6,7.64,8.04,10,30,28,4.833975728414476,9,6,7,Saturday
2024-09-13,30,0,21.58,2.71,5.12,9,0,114,8.730203485959434,5,9,5,Friday
2024-05-16,40,1,22.85,6.04,7.19,6,1,161,11.347637799514407,3,6,8,Thursday
2024-01-25,20,1,23.53,5.85,6.31,6,25,113,9.308298976133685,7,1,4,Thursday
2024-12-26,30,0,21.45,4.63,7.18,8,48,140,7.178544923660783,3,8,3,Thursday
2024-11-13,40,1,20.73,3.12,6.39,8,18,0,10.204220933560084,2,2,6,Wednesday
2024-04-22,20,1,23.47,4.34,4.88,3,31,109,8.21262773327435,1,7,7,Monday
2024-10-14,40,1,20.9,2.67,5.77,7,58,71,4.832868655876591,5,3,3,Monday
2024-04-06,20,0,22.52,7.96,9.44,8,45,141,6.345181842088106,2,7,10,Saturday
2024-09-19,30,2,23.3,6.72,7.42,2,1,147,6.686926857198681,2,3,7,Thursday
2024-04-28,30,1,20.62,4.99,8.37,9,52,80,10.947743807183302,8,7,1,Sunday
2024-04-24,20,0,20.4,2.19,5.79,6,21,3,5.058209689002643,2,7,5,Wednesday
2024-03-15,30,1,21.58,4.57,6.99,2,16,152,7.979719151839125,7,5,10,Friday
2024-12-07,40,0,22.65,4.4,5.75,9,52,144,7.350164199136585,10,2,6,Saturday
2024-12-28,50,2,21.47,3.91,6.45,8,10,112,9.772262888975243,8,3,6,Saturday
2024-04-07,40,0,21.07,3.99,6.92,10,35,147,5.296111023132677,4,1,2,Sunday
2024-07-19,10,1,20.13,2.39,6.26,1,88,170,8.786288466145237,9,7,3,Friday
2024-05-10,40,0,21.18,3.49,6.3,1,60,73,9.524481859565125,1,8,3,Friday
2024-09-20,30,2,20.88,4.57,7.69,8,24,11,5.769675534556818,10,9,10,Friday
2024-02-16,30,2,20.37,3.65,7.28,6,6,78,9.57936213797472,9,3,8,Friday
2024-11-10,30,2,21.85,6.57,8.72,2,58,16,9.201338803545823,8,3,2,Sunday
2024-05-10,40,2,22.72,6.08,7.36,8,3,160,11.087821985889498,10,2,7,Friday
2024-08-14,50,0,22.9,4.33,5.43,2,31,122,11.9834728842667,4,1,5,Wednesday
2024-08-23,20,0,20.63,3.75,7.11,1,48,172,6.836977261126212,2,4,2,Friday
2024-10-19,10,1,21.23,3.87,6.64,1,87,36,10.290760115324415,6,7,8,Saturday
2024-11-14,30,0,20.1,5.56,9.46,8,19,53,8.861894359030874,10,2,9,Thursday
2024-08-05,20,0,20.07,3.72,7.65,7,48,98,8.778192579442727,1,10,3,Monday
2024-06-26,40,2,23.57,5.19,5.62,8,88,141,10.88101453134339,9,8,3,Wednesday
2024-05-02,40,0,23.68,8.23,8.55,8,24,138,4.695894079291281,8,6,8,Thursday
2024-09-07,40,0,21.6,3.2,5.6,5,76,113,7.961172216111795,3,10,3,Saturday
2024-02-25,40,1,20.53,5.43,8.89,3,79,91,10.804653832753935,9,9,5,Sunday
2024-06-18,40,0,23.1,8.01,8.91,10,30,169,5.030958939787562,5,7,2,Tuesday
2024-12-21,40,2,21.52,2.44,4.92,1,16,97,9.07204562479689,8,3,6,Saturday
2024-03-14,40,0,22.45,6.11,7.66,5,21,147,9.503085778406508,2,4,1,Thursday
2024-01-12,10,0,21.92,2.65,4.73,2,13,174,11.751022842285533,4,3,4,Friday
2024-01-07,20,1,21.77,4.71,6.94,3,74,25,5.271506266214052,2,4,1,Sunday
2024-04-08,50,2,22.9,7.53,8.63,4,31,174,9.443994416597704,6,3,1,Monday
2024-08-23,30,2,23.6,7.29,7.69,6,18,57,11.152793629433075,2,3,1,Friday
2024-10-07,20,0,22.72,5.58,6.87,8,59,92,10.212774822333934,2,4,7,Monday
2024-12-14,40,0,22.32,6.8,8.48,9,77,125,9.48452229783177,4,9,6,Saturday
2024-11-14,10,2,23.2,4.45,5.25,5,17,165,6.333300629674426,9,1,6,Thursday
2024-09-23,40,1,20.18,5.62,9.43,6,85,147,6.7681325411587165,8,2,1,Monday
2024-01-02,50,1,20.48,1.15,4.67,4,25,165,8.540326786092464,10,2,2,Tuesday
2024-04-15,50,2,20.03,5.01,8.98,9,5,102,8.903553398924847,9,2,8,Monday
2024-11-23,30,0,22.97,5.89,6.92,4,79,153,7.847230651591879,9,10,2,Saturday
2024-01-12,30,2,21.58,5.8,8.22,7,52,31,7.985565731625112,2,6,2,Friday
2024-07-29,50,1,22.03,2.94,4.91,3,34,96,10.723619250215467,1,5,10,Monday
2024-01-24,50,0,23.98,4.68,4.7,1,50,104,7.508923353516724,5,2,4,Wednesday
2024-03-06,20,2,20.28,3.94,7.66,1,25,99,11.272260165325129,7,10,2,Wednesday
2024-10-19,30,2,20.32,3.78,7.46,6,16,65,10.863890031381649,5,1,8,Saturday
2024-06-12,40,2,21.03,3.74,6.71,10,9,132,5.989714180701039,1,9,6,Wednesday
2024-10-10,50,2,20.18,3.06,6.87,1,43,110,10.946170244106067,4,2,2,Thursday
2024-10-19,40,1,22.57,5.33,6.76,5,58,178,4.332582872403137,10,4,5,Saturday
2024-08-29,50,1,21.47,6.31,8.84,8,42,150,9.334914060368837,4,7,4,Thursday
2024-12-01,50,2,23.82,5.26,5.44,7,7,95,5.876490346678629,6,2,1,Sunday
2024-11-06,40,2,21.48,4.47,6.99,1,25,46,8.564877973110637,8,9,4,Wednesday
2024-10-15,30,2,23.22,5.69,6.47,5,89,62,11.817393473770538,9,9,9,Tuesday
2024-09-01,50,2,23.55,6.07,6.52,4,18,140,10.382509190869076,3,1,8,Sunday
2024-11-05,40,1,22.0,4.33,6.33,7,14,160,5.90035304699462,1,3,6,Tuesday
2024-09-23,20,0,21.15,5.45,8.3,9,2,25,11.61182847732793,2,6,5,Monday
2024-08-08,40,1,21.78,5.18,7.4,4,14,175,8.395313907443626,2,5,7,Thursday
2024-04-16,30,1,23.17,5.57,6.4,4,20,18,4.811366627593732,4,5,4,Tuesday
2024-01-27,40,2,23.25,4.2,4.95,2,1,131,10.58539212476528,7,10,7,Saturday
2024-06-07,50,1,21.92,7.23,9.31,4,6,119,8.211993553230247,7,6,6,Friday
2024-10-03,40,1,21.13,4.87,7.73,8,41,151,6.827371034421745,10,5,4,Thursday
2024-02-19,30,2,21.4,2.38,4.98,4,73,68,5.344113661958907,3,2,1,Monday
2024-04-28,50,2,22.45,3.98,5.53,10,72,76,8.755810681489384,9,2,3,Sunday
2024-09-19,50,1,20.17,5.62,9.46,3,67,101,8.627095336051273,7,4,8,Thursday
2024-08-16,20,1,23.53,5.17,5.63,9,67,48,10.654904906011376,5,5,8,Friday
2024-08-17,20,0,23.95,6.12,6.17,6,1,171,9.294713518795028,1,3,2,Saturday
2024-10-12,20,0,23.95,9.24,9.29,9,54,105,4.773411597173757,9,7,1,Saturday
2024-05-15,20,0,20.37,2.86,6.5,8,4,107,5.949253728510933,5,4,6,Wednesday
2024-08-18,50,1,23.18,7.59,8.41,2,13,150,6.104900559286743,2,9,5,Sunday
2024-09-14,20,2,23.37,8.58,9.21,2,54,162,10.290207654056756,6,5,4,Saturday
2024-01-12,50,0,21.73,4.14,6.4,8,29,66,10.320243490456493,4,9,5,Friday
2024-06-11,40,0,22.28,7.57,9.29,2,9,24,7.834835521102814,1,4,1,Tuesday
2024-04-19,20,2,20.08,1.32,5.23,5,7,78,11.70492089271339,4,2,6,Friday
2024-06-08,10,2,22.5,3.31,4.81,3,33,88,4.465310364043806,2,8,9,Saturday
2024-03-23,40,0,21.83,3.22,5.39,1,3,102,5.831156838772909,5,7,4,Saturday
2024-08-08,50,2,21.6,6.53,8.93,3,6,91,7.853078772278899,7,5,6,Thursday
2024-05-12,40,1,21.62,3.42,5.8,10,86,12,4.096966197151146,2,5,5,Sunday
2024-12-03,40,1,22.8,6.04,7.24,5,51,116,7.9059290961742255,4,2,4,Tuesday
2024-04-21,50,2,20.47,2.94,6.47,6,41,41,11.136677511521874,9,1,8,Sunday
2024-05-08,40,1,21.82,2.51,4.69,8,20,33,7.090791278786524,6,8,1,Wednesday
2024-03-19,40,1,22.07,6.25,8.19,1,86,7,4.333383204819074,9,7,1,Tuesday
2024-04-18,50,1,20.32,4.5,8.19,10,30,138,11.76599966136536,3,7,3,Thursday
2024-01-28,20,1,21.88,6.21,8.32,10,37,111,11.742880278760245,8,8,9,Sunday
2024-11-24,30,0,22.8,4.58,5.78,4,77,168,11.678612144607431,7,2,10,Sunday
2024-05-28,20,2,23.02,6.53,7.51,5,31,31,9.251828858652022,10,1,8,Tuesday
2024-07-01,50,2,21.98,4.43,6.44,2,21,171,5.5797639188794985,1,8,5,Monday
2024-05-01,50,1,23.67,6.89,7.22,5,12,125,10.735988423120492,8,7,7,Wednesday
2024-08-23,30,2,20.35,3.55,7.2,2,1,179,10.54228263885556,3,7,8,Friday
2024-02-13,30,2,20.53,3.58,7.04,6,18,156,4.750055365164453,9,5,8,Tuesday
2024-12-27,30,1,23.07,7.97,8.91,4,63,148,9.864570368237398,7,2,9,Friday
2024-04-21,20,0,21.42,6.12,8.7,1,77,120,11.664587840955042,9,4,3,Sunday
2024-08-10,20,2,20.95,3.29,6.34,4,19,153,7.132205585422635,5,6,8,Saturday
2024-12-24,30,1,22.1,5.0,6.9,3,87,79,5.803510043709551,4,4,8,Tuesday
2024-09-10,40,0,22.5,3.11,4.61,3,48,149,9.563325186624423,10,6,5,Tuesday
2024-12-21,50,0,22.8,5.47,6.67,2,62,112,8.785802352509911,9,6,1,Saturday
2024-07-16,30,2,22.23,4.78,6.55,7,8,143,5.6234909405992175,4,10,2,Tuesday
2024-09-15,40,0,21.73,5.72,7.99,3,18,45,5.804330639405861,5,5,4,Sunday
2024-02-18,20,0,21.05,1.8,4.75,7,34,23,9.836065829219171,6,9,6,Sunday
2024-06-22,40,1,23.33,4.18,4.84,10,29,134,5.975830392575999,8,10,6,Saturday
2024-04-15,30,0,23.13,6.07,6.94,8,83,106,5.113962968940761,4,2,1,Monday
2024-01-07,20,2,23.1,5.57,6.47,10,13,57,11.836406723054054,5,3,7,Sunday
2024-08-05,40,1,22.83,8.19,9.36,9,60,177,9.760064317304906,10,9,7,Monday
2024-03-26,50,1,23.55,6.07,6.52,9,38,176,8.348305738741168,6,6,2,Tuesday
2024-03-05,30,1,21.15,3.96,6.81,3,38,75,4.498184847055085,8,6,10,Tuesday
2024-04-08,40,2,20.32,3.54,7.22,4,85,119,5.010030262340908,6,4,9,Monday
2024-06-16,40,0,20.02,0.84,4.83,3,71,96,7.125826924908906,3,6,7,Sunday
2024-10-05,30,1,22.17,3.69,5.52,10,7,163,6.211533524667169,8,7,9,Saturday
2024-02-16,50,0,21.98,5.96,7.98,2,6,26,6.215235899022471,8,6,1,Friday
2024-08-07,20,1,23.98,8.59,8.6,5,3,18,11.05933094725871,7,1,7,Wednesday
2024-01-21,30,0,23.45,8.36,8.91,7,26,130,8.219196976981411,9,4,2,Sunday
2024-06-02,50,1,23.47,5.45,5.98,6,49,59,6.514800905469987,2,9,5,Sunday
2024-08-03,40,0,21.78,5.84,8.06,8,89,160,5.918992902047558,4,2,9,Saturday
2024-11-02,20,1,22.78,6.17,7.39,1,68,138,10.749898611253794,3,1,4,Saturday
2024-09-28,10,2,23.92,4.76,4.85,7,69,147,5.817436456188119,8,7,7,Saturday
2024-05-07,40,2,21.23,2.8,5.56,3,56,45,10.073989864486744,4,1,7,Tuesday
2024-12-20,30,2,21.83,6.87,9.04,7,58,97,7.576444350451403,6,4,5,Friday
2024-11-23,30,2,23.8,4.51,4.71,8,13,101,6.240298636403916,9,3,3,Saturday
2024-10-01,40,1,22.22,6.35,8.13,7,18,165,4.961977812093405,4,8,1,Tuesday
2024-10-12,50,1,21.17,2.04,4.87,9,58,40,4.385142687826828,4,8,2,Saturday
2024-12-26,30,1,23.9,7.06,7.16,1,47,11,8.662454680667917,2,5,5,Thursday
2024-11-20,50,1,20.13,5.18,9.05,4,34,64,4.201135666218182,7,8,6,Wednesday
2024-03-16,30,1,22.42,3.74,5.32,6,20,19,10.310418111242877,3,4,7,Saturday
2024-12-13,30,1,22.35,4.16,5.81,8,33,71,9.07283225101065,6,6,9,Friday
2024-07-28,20,0,21.43,2.63,5.2,10,64,108,7.85632846489666,8,3,4,Sunday
2024-11-07,30,1,21.8,2.34,4.54,8,42,38,10.420685436638504,1,10,6,Thursday
2024-08-20,40,1,20.67,5.26,8.59,5,50,166,8.598236434115321,7,3,1,Tuesday
2024-06-16,20,1,20.73,4.27,7.54,1,44,102,11.632265020680324,5,8,9,Sunday
2024-12-12,40,0,20.77,1.56,4.8,4,81,67,7.070711064359836,4,2,5,Thursday
2024-05-26,40,1,20.18,1.08,4.9,9,38,28,9.42935965338052,2,3,10,Sunday
2024-07-28,20,1,22.45,3.81,5.36,6,26,1,8.23993218341135,3,8,2,Sunday
2024-03-21,20,2,22.0,2.92,4.92,10,84,48,5.728410920093498,9,7,8,Thursday
2024-10-20,30,0,22.28,4.8,6.52,7,72,29,7.571356131212657,2,3,3,Sunday
2024-06-04,30,1,22.37,4.46,6.09,10,56,99,7.14379380276233,8,7,2,Tuesday
2024-06-04,20,1,23.0,5.23,6.23,4,18,145,9.095218539637946,1,1,6,Tuesday
2024-03-04,20,0,23.85,7.25,7.4,6,64,131,5.338877865109024,2,5,8,Monday
2024-12-09,20,2,20.05,1.05,5.0,6,63,50,4.186816770625487,5,10,5,Monday
2024-05-01,50,0,23.6,6.47,6.87,6,67,112,4.7056136303189655,4,1,6,Wednesday
2024-03-08,50,1,20.55,1.89,5.34,5,86,97,6.074679178536756,3,10,1,Friday
2024-12-06,30,2,22.05,4.29,6.24,8,12,97,7.911182654339611,3,1,3,Friday
2024-09-08,50,0,20.38,3.99,7.6,5,84,27,10.820462255212428,5,4,6,Sunday
2024-05-26,40,1,21.17,3.43,6.27,6,20,138,8.394579835225393,5,1,8,Sunday
2024-01-20,20,0,20.83,3.65,6.81,4,69,101,8.179553163243716,8,7,9,Saturday
2024-08-29,30,2,21.45,6.09,8.64,4,6,47,11.968983597115528,8,4,1,Thursday
2024-12-02,20,2,22.62,4.4,5.78,5,12,30,9.872238100714451,2,6,6,Monday
2024-06-19,20,0,23.33,5.63,6.29,2,40,34,5.685639710937625,9,3,3,Wednesday
2024-09-20,50,2,21.1,1.82,4.72,4,24,0,4.552236327102797,8,8,5,Friday
2024-07-06,20,2,20.58,4.58,8.0,8,22,33,4.6211946773728405,4,6,3,Saturday
2024-03-12,30,1,20.52,1.38,4.86,3,15,167,4.90345314148809,2,10,6,Tuesday
2024-07-06,10,0,20.92,2.89,5.98,2,38,119,7.240821556220531,6,7,5,Saturday
2024-10-21,30,1,21.87,2.54,4.67,3,52,56,10.076891429598373,1,7,7,Monday
2024-02-01,20,0,23.12,6.39,7.27,4,31,177,9.711621060052718,4,5,8,Thursday
2024-11-30,20,1,22.37,6.47,8.1,7,30,81,10.59022472080932,9,1,9,Saturday
2024-08-28,40,0,21.52,4.98,7.47,1,86,49,7.735743999708886,6,5,9,Wednesday
2024-11-15,40,2,20.0,1.15,5.15,9,26,171,8.574473308857229,2,3,3,Friday
2024-06-25,20,2,20.27,4.2,7.94,10,28,119,9.406781971714691,7,5,5,Tuesday
2024-08-22,20,1,23.77,8.99,9.22,9,20,139,11.995729985725044,1,5,6,Thursday
2024-10-30,50,2,22.78,4.33,5.54,3,70,140,7.326380005499601,2,9,9,Wednesday
2024-06-14,30,1,23.73,8.0,8.27,2,8,7,9.213118083818213,2,3,6,Friday
2024-05-28,50,0,21.0,5.95,8.95,3,12,117,10.256122679463738,5,5,10,Tuesday
2024-02-15,50,0,21.27,2.39,5.12,10,34,101,8.24750142729675,6,4,8,Thursday
2024-01-29,40,0,20.32,3.09,6.77,1,57,169,10.161265694056768,9,2,5,Monday
2024-05-13,40,1,20.53,4.73,8.2,7,56,11,4.010829005723745,5,4,7,Monday
2024-08-15,20,2,23.53,7.06,7.53,8,71,58,6.423325830665541,3,9,2,Thursday
2024-08-13,30,2,23.42,6.83,7.41,8,8,132,8.245898842294686,4,2,6,Tuesday
2024-08-20,40,2,21.93,5.55,7.61,10,44,103,11.251367711315496,1,1,4,Tuesday
2024-04-11,40,1,21.82,5.77,7.95,2,4,51,5.842007365684117,8,6,1,Thursday
2024-08-13,30,0,20.08,1.96,5.87,6,61,77,8.37261713625836,3,6,8,Tuesday
2024-08-22,50,1,23.17,7.63,8.47,6,40,67,11.61143848289466,8,10,9,Thursday
2024-11-27,50,1,21.3,2.68,5.38,6,81,133,5.520861198269821,3,2,1,Wednesday
2024-04-16,30,0,21.9,4.36,6.46,10,7,64,7.665877203142671,1,4,8,Tuesday
2024-08-29,40,0,23.13,7.81,8.68,4,27,170,4.368453873519651,10,8,2,Thursday
2024-02-24,30,1,22.93,5.45,6.51,10,8,154,11.638775944307746,1,9,7,Saturday
2024-08-28,40,2,22.8,5.52,6.72,10,77,17,11.93953831499823,4,5,2,Wednesday
2024-11-19,10,0,21.73,7.11,9.37,7,9,40,4.31143970660534,10,1,1,Tuesday
2024-10-04,50,1,23.07,7.16,8.1,8,50,98,6.610707447455898,3,3,7,Friday
2024-10-29,50,1,20.22,4.62,8.4,10,83,115,5.635687088437694,8,9,3,Tuesday
2024-04-21,40,0,20.43,1.28,4.85,3,36,110,10.487028648063347,8,4,2,Sunday
2024-01-24,20,0,20.8,4.0,7.2,8,22,94,5.0229344097793405,9,9,9,Wednesday
2024-07-06,50,1,21.65,3.28,5.63,6,84,2,11.061875045387376,6,4,6,Saturday
2024-08-26,20,1,22.95,4.96,6.01,5,24,154,6.171508621073602,9,6,4,Monday
2024-02-08,30,0,20.12,3.92,7.81,7,30,31,5.338570432008483,9,1,10,Thursday
2024-08-01,20,2,20.97,5.26,8.3,6,64,50,6.9542461617243285,9,8,2,Thursday
2024-04-13,40,2,22.08,7.19,9.1,7,38,56,6.192572714737528,9,9,6,Saturday
2024-09-18,20,1,22.8,6.94,8.14,7,63,80,7.044141678959156,4,4,2,Wednesday
2024-12-04,50,0,21.53,6.88,9.35,7,3,58,8.008703042097576,6,9,1,Wednesday
2024-06-16,20,2,23.08,4.18,5.09,3,18,79,5.0537202286327485,10,9,4,Sunday
2024-04-04,40,0,23.35,7.21,7.86,5,71,118,8.573967865149989,7,3,3,Thursday
2024-07-28,30,1,20.18,2.12,5.94,5,26,144,11.479955454710122,5,9,5,Sunday
2024-04-27,50,0,21.78,3.95,6.17,6,68,166,11.555588661554427,4,6,7,Saturday
2024-03-19,30,0,20.92,6.37,9.45,8,81,104,11.84294992753748,10,10,1,Tuesday
2024-11-17,20,0,20.07,1.52,5.45,4,40,176,7.180899028422965,3,10,2,Sunday
2024-12-10,10,0,21.35,2.57,5.22,7,38,156,11.404177662815048,4,9,6,Tuesday
2024-05-27,10,0,20.55,4.57,8.02,6,78,9,7.605491799511305,6,9,4,Monday
2024-02-28,10,1,23.0,4.09,5.09,9,9,58,9.89228182667834,5,8,6,Wednesday
2024-12-21,40,1,20.45,4.09,7.64,4,6,163,11.517212090348066,10,4,9,Saturday
2024-08-24,50,0,23.62,4.63,5.01,2,26,177,4.741003864410938,5,9,4,Saturday
2024-04-02,20,2,21.3,4.75,7.45,1,42,169,9.606941086891457,8,7,1,Tuesday
2024-09-01,40,2,23.53,5.11,5.57,5,42,39,6.838886645969183,2,3,10,Sunday
2024-06-09,30,0,21.78,3.95,6.17,2,37,18,7.948007937235266,8,3,10,Sunday
2024-12-23,40,0,23.83,8.19,8.35,1,72,88,6.668854312232345,1,6,5,Monday
2024-05-16,30,0,20.95,2.69,5.74,6,39,106,11.490244971751412,2,2,6,Thursday
2024-05-18,30,0,23.1,3.88,4.78,6,87,128,10.115525824604036,6,2,9,Saturday
2024-04-11,40,1,20.15,5.36,9.21,2,70,46,9.481074478995872,3,4,5,Thursday
2024-05-08,20,2,23.68,6.86,7.18,5,60,87,10.314342786557486,7,7,5,Wednesday
2024-02-05,50,0,22.25,7.13,8.88,5,60,5,8.426969517998174,3,7,6,Monday
2024-04-27,30,2,23.03,5.61,6.57,6,72,164,7.288748871043518,4,7,1,Saturday
2024-09-03,30,0,20.08,4.53,8.45,6,32,125,5.325985415721766,10,3,10,Tuesday
2024-05-17,50,0,20.68,4.22,7.54,7,46,126,5.873626967410673,8,8,9,Friday
2024-06-23,50,2,22.15,4.71,6.56,10,64,128,9.05135136974701,1,5,7,Sunday
2024-05-07,40,1,22.2,4.66,6.46,1,66,57,8.062440511670232,5,1,1,Tuesday
2024-03-02,40,2,20.03,3.34,7.3,5,31,123,11.052507639526056,6,9,8,Saturday
2024-11-07,40,1,21.25,2.77,5.52,3,70,156,5.467537571227476,2,9,3,Thursday
